"time","price"
"Mon, 30 Mar 2020 11:53:09 GMT","1 USD = 17.8355 ZAR"
"Mon, 30 Mar 2020 12:03:09 GMT","1 USD = 17.8377 ZAR"
"Mon, 30 Mar 2020 12:13:09 GMT","1 USD = 17.8463 ZAR"
"Mon, 30 Mar 2020 12:23:08 GMT","1 USD = 17.8877 ZAR"
"Mon, 30 Mar 2020 12:33:09 GMT","1 USD = 17.8989 ZAR"
"Mon, 30 Mar 2020 12:43:09 GMT","1 USD = 17.8904 ZAR"
"Mon, 30 Mar 2020 12:53:09 GMT","1 USD = 17.9087 ZAR"
"Mon, 30 Mar 2020 13:37:06 GMT","1 USD = 17.9557 ZAR"
"Mon, 30 Mar 2020 13:47:06 GMT","1 USD = 17.9886 ZAR"
"Mon, 30 Mar 2020 13:57:06 GMT","1 USD = 17.994 ZAR"
"Mon, 30 Mar 2020 14:07:06 GMT","1 USD = 17.9888 ZAR"
"Mon, 30 Mar 2020 14:15:34 GMT","1 USD = 17.9808 ZAR"
"Mon, 30 Mar 2020 14:20:34 GMT","1 USD = 17.9723 ZAR"
"Mon, 30 Mar 2020 14:25:34 GMT","1 USD = 17.9611 ZAR"
"Mon, 30 Mar 2020 14:30:34 GMT","1 USD = 17.9923 ZAR"
"Mon, 30 Mar 2020 14:35:33 GMT","1 USD = 17.9481 ZAR"
"Mon, 30 Mar 2020 14:40:34 GMT","1 USD = 17.948 ZAR"
"Mon, 30 Mar 2020 14:45:34 GMT","1 USD = 17.9442 ZAR"
"Mon, 30 Mar 2020 14:50:33 GMT","1 USD = 17.9268 ZAR"
"Mon, 30 Mar 2020 14:55:34 GMT","1 USD = 17.9761 ZAR"
"Mon, 30 Mar 2020 15:00:34 GMT","1 USD = 17.9937 ZAR"
"Mon, 30 Mar 2020 15:05:34 GMT","1 USD = 17.9563 ZAR"
"Mon, 30 Mar 2020 15:10:33 GMT","1 USD = 17.9547 ZAR"
"Mon, 30 Mar 2020 15:23:45 GMT","1 USD = 17.9454 ZAR"
"Mon, 30 Mar 2020 15:28:45 GMT","1 USD = 17.9781 ZAR"
"Mon, 30 Mar 2020 15:33:45 GMT","1 USD = 17.9816 ZAR"
"Mon, 30 Mar 2020 15:38:45 GMT","1 USD = 17.9979 ZAR"
"Mon, 30 Mar 2020 15:43:45 GMT","1 USD = 18.0104 ZAR"
"Mon, 30 Mar 2020 15:48:45 GMT","1 USD = 17.9996 ZAR"
"Mon, 30 Mar 2020 15:53:44 GMT","1 USD = 18.0027 ZAR"
"Mon, 30 Mar 2020 15:58:45 GMT","1 USD = 17.9916 ZAR"
"Mon, 30 Mar 2020 16:03:45 GMT","1 USD = 17.9705 ZAR"
"Mon, 30 Mar 2020 16:08:46 GMT","1 USD = 17.9598 ZAR"
"Mon, 30 Mar 2020 16:13:45 GMT","1 USD = 17.9497 ZAR"
"Mon, 30 Mar 2020 16:18:45 GMT","1 USD = 17.9378 ZAR"
"Mon, 30 Mar 2020 16:23:45 GMT","1 USD = 17.9423 ZAR"
"Mon, 30 Mar 2020 16:28:45 GMT","1 USD = 17.937 ZAR"
"Mon, 30 Mar 2020 16:33:45 GMT","1 USD = 17.9319 ZAR"
"Mon, 30 Mar 2020 16:38:45 GMT","1 USD = 17.9437 ZAR"
"Mon, 30 Mar 2020 16:43:45 GMT","1 USD = 17.949 ZAR"
"Mon, 30 Mar 2020 16:48:45 GMT","1 USD = 17.943 ZAR"
"Mon, 30 Mar 2020 16:53:45 GMT","1 USD = 17.9448 ZAR"
"Mon, 30 Mar 2020 16:58:45 GMT","1 USD = 17.9382 ZAR"
"Mon, 30 Mar 2020 17:03:45 GMT","1 USD = 17.9685 ZAR"
"Mon, 30 Mar 2020 17:08:45 GMT","1 USD = 17.9409 ZAR"
"Mon, 30 Mar 2020 17:13:45 GMT","1 USD = 17.9599 ZAR"
"Mon, 30 Mar 2020 17:18:45 GMT","1 USD = 17.958 ZAR"
"Mon, 30 Mar 2020 17:23:45 GMT","1 USD = 17.954 ZAR"
"Mon, 30 Mar 2020 17:28:45 GMT","1 USD = 17.9569 ZAR"
"Mon, 30 Mar 2020 17:33:45 GMT","1 USD = 17.9566 ZAR"
"Mon, 30 Mar 2020 17:38:45 GMT","1 USD = 17.9622 ZAR"
"Mon, 30 Mar 2020 17:43:45 GMT","1 USD = 17.962 ZAR"
"Mon, 30 Mar 2020 17:48:45 GMT","1 USD = 17.9815 ZAR"
"Mon, 30 Mar 2020 17:53:45 GMT","1 USD = 17.9775 ZAR"
"Mon, 30 Mar 2020 17:58:45 GMT","1 USD = 17.9704 ZAR"
"Mon, 30 Mar 2020 18:03:45 GMT","1 USD = 17.9714 ZAR"
"Mon, 30 Mar 2020 18:08:45 GMT","1 USD = 17.9716 ZAR"
"Mon, 30 Mar 2020 18:13:45 GMT","1 USD = 17.9751 ZAR"
"Mon, 30 Mar 2020 18:18:45 GMT","1 USD = 17.9794 ZAR"
"Mon, 30 Mar 2020 18:23:45 GMT","1 USD = 17.9739 ZAR"
"Mon, 30 Mar 2020 18:28:45 GMT","1 USD = 17.972 ZAR"
"Mon, 30 Mar 2020 18:33:45 GMT","1 USD = 17.9663 ZAR"
"Mon, 30 Mar 2020 18:38:45 GMT","1 USD = 17.9636 ZAR"
"Mon, 30 Mar 2020 18:43:45 GMT","1 USD = 17.9661 ZAR"
"Mon, 30 Mar 2020 18:48:45 GMT","1 USD = 17.9395 ZAR"
"Mon, 30 Mar 2020 18:53:45 GMT","1 USD = 17.9415 ZAR"
"Mon, 30 Mar 2020 18:58:45 GMT","1 USD = 17.9401 ZAR"
"Mon, 30 Mar 2020 19:03:45 GMT","1 USD = 17.9452 ZAR"
"Mon, 30 Mar 2020 19:08:45 GMT","1 USD = 17.9562 ZAR"
"Mon, 30 Mar 2020 19:13:45 GMT","1 USD = 17.9395 ZAR"
"Mon, 30 Mar 2020 19:18:45 GMT","1 USD = 17.9388 ZAR"
"Mon, 30 Mar 2020 19:23:45 GMT","1 USD = 17.9143 ZAR"
"Mon, 30 Mar 2020 19:28:45 GMT","1 USD = 17.9091 ZAR"
"Mon, 30 Mar 2020 19:33:45 GMT","1 USD = 17.9271 ZAR"
"Mon, 30 Mar 2020 19:38:45 GMT","1 USD = 17.9379 ZAR"
"Mon, 30 Mar 2020 19:43:47 GMT","1 USD = 17.9208 ZAR"
"Mon, 30 Mar 2020 19:48:45 GMT","1 USD = 17.9188 ZAR"
"Mon, 30 Mar 2020 19:53:45 GMT","1 USD = 17.927 ZAR"
"Mon, 30 Mar 2020 19:58:45 GMT","1 USD = 17.918 ZAR"
"Mon, 30 Mar 2020 20:03:45 GMT","1 USD = 17.9101 ZAR"
"Mon, 30 Mar 2020 20:08:45 GMT","1 USD = 17.916 ZAR"
"Mon, 30 Mar 2020 20:13:45 GMT","1 USD = 17.9147 ZAR"
"Mon, 30 Mar 2020 20:18:45 GMT","1 USD = 17.9051 ZAR"
"Mon, 30 Mar 2020 20:23:45 GMT","1 USD = 17.9034 ZAR"
"Mon, 30 Mar 2020 20:28:45 GMT","1 USD = 17.921 ZAR"
"Mon, 30 Mar 2020 20:33:45 GMT","1 USD = 17.9405 ZAR"
"Mon, 30 Mar 2020 20:38:45 GMT","1 USD = 17.9184 ZAR"
"Mon, 30 Mar 2020 20:43:45 GMT","1 USD = 17.9179 ZAR"
"Mon, 30 Mar 2020 20:48:45 GMT","1 USD = 17.9177 ZAR"
"Mon, 30 Mar 2020 20:53:46 GMT","1 USD = 17.9193 ZAR"
"Mon, 30 Mar 2020 20:58:45 GMT","1 USD = 17.9045 ZAR"
"Mon, 30 Mar 2020 21:03:45 GMT","1 USD = 17.9394 ZAR"
"Mon, 30 Mar 2020 21:08:45 GMT","1 USD = 17.9211 ZAR"
"Mon, 30 Mar 2020 21:13:45 GMT","1 USD = 17.932 ZAR"
"Mon, 30 Mar 2020 21:18:45 GMT","1 USD = 17.9225 ZAR"
"Mon, 30 Mar 2020 21:23:45 GMT","1 USD = 17.9214 ZAR"
"Mon, 30 Mar 2020 21:28:45 GMT","1 USD = 17.9225 ZAR"
"Mon, 30 Mar 2020 21:33:45 GMT","1 USD = 17.9225 ZAR"
"Mon, 30 Mar 2020 21:38:45 GMT","1 USD = 17.927 ZAR"
"Mon, 30 Mar 2020 21:43:45 GMT","1 USD = 17.9181 ZAR"
"Mon, 30 Mar 2020 21:48:45 GMT","1 USD = 17.9245 ZAR"
"Mon, 30 Mar 2020 21:53:45 GMT","1 USD = 17.9212 ZAR"
"Mon, 30 Mar 2020 21:58:45 GMT","1 USD = 17.9188 ZAR"
"Mon, 30 Mar 2020 22:03:45 GMT","1 USD = 17.9032 ZAR"
"Mon, 30 Mar 2020 22:08:45 GMT","1 USD = 17.9176 ZAR"
"Mon, 30 Mar 2020 22:13:45 GMT","1 USD = 17.9401 ZAR"
"Mon, 30 Mar 2020 22:18:46 GMT","1 USD = 17.9347 ZAR"
"Mon, 30 Mar 2020 22:23:45 GMT","1 USD = 17.939 ZAR"
"Mon, 30 Mar 2020 22:28:45 GMT","1 USD = 17.94 ZAR"
"Mon, 30 Mar 2020 22:33:45 GMT","1 USD = 17.9408 ZAR"
"Mon, 30 Mar 2020 22:38:45 GMT","1 USD = 17.9414 ZAR"
"Mon, 30 Mar 2020 22:43:45 GMT","1 USD = 17.9391 ZAR"
"Mon, 30 Mar 2020 22:53:45 GMT","1 USD = 17.9447 ZAR"
"Mon, 30 Mar 2020 22:58:46 GMT","1 USD = 17.939 ZAR"
"Mon, 30 Mar 2020 23:13:45 GMT","1 USD = 17.927 ZAR"
"Mon, 30 Mar 2020 23:18:45 GMT","1 USD = 17.9572 ZAR"
"Mon, 30 Mar 2020 23:23:45 GMT","1 USD = 17.9482 ZAR"
"Mon, 30 Mar 2020 23:28:45 GMT","1 USD = 17.9549 ZAR"
"Mon, 30 Mar 2020 23:33:46 GMT","1 USD = 17.9433 ZAR"
"Mon, 30 Mar 2020 23:38:46 GMT","1 USD = 17.9413 ZAR"
"Mon, 30 Mar 2020 23:43:46 GMT","1 USD = 17.9296 ZAR"
"Mon, 30 Mar 2020 23:48:45 GMT","1 USD = 17.9459 ZAR"
"Mon, 30 Mar 2020 23:53:45 GMT","1 USD = 17.957 ZAR"
"Mon, 30 Mar 2020 23:58:45 GMT","1 USD = 17.9513 ZAR"
"Tue, 31 Mar 2020 00:03:45 GMT","1 USD = 17.9428 ZAR"
"Tue, 31 Mar 2020 00:08:45 GMT","1 USD = 17.9415 ZAR"
"Tue, 31 Mar 2020 00:13:45 GMT","1 USD = 17.9423 ZAR"
"Tue, 31 Mar 2020 00:18:45 GMT","1 USD = 17.9404 ZAR"
"Tue, 31 Mar 2020 00:23:45 GMT","1 USD = 17.9589 ZAR"
"Tue, 31 Mar 2020 00:28:45 GMT","1 USD = 17.9474 ZAR"
"Tue, 31 Mar 2020 00:33:45 GMT","1 USD = 17.9499 ZAR"
"Tue, 31 Mar 2020 00:38:45 GMT","1 USD = 17.9596 ZAR"
"Tue, 31 Mar 2020 00:43:45 GMT","1 USD = 17.9413 ZAR"
"Tue, 31 Mar 2020 00:48:45 GMT","1 USD = 17.959 ZAR"
"Tue, 31 Mar 2020 00:53:45 GMT","1 USD = 17.9351 ZAR"
"Tue, 31 Mar 2020 00:58:45 GMT","1 USD = 17.9452 ZAR"
"Tue, 31 Mar 2020 01:03:45 GMT","1 USD = 17.9715 ZAR"
"Tue, 31 Mar 2020 01:08:45 GMT","1 USD = 17.948 ZAR"
"Tue, 31 Mar 2020 01:13:45 GMT","1 USD = 17.9609 ZAR"
"Tue, 31 Mar 2020 01:18:45 GMT","1 USD = 17.9699 ZAR"
"Tue, 31 Mar 2020 01:23:45 GMT","1 USD = 17.9834 ZAR"
"Tue, 31 Mar 2020 01:28:45 GMT","1 USD = 17.9722 ZAR"
"Tue, 31 Mar 2020 01:33:45 GMT","1 USD = 17.9608 ZAR"
"Tue, 31 Mar 2020 01:38:45 GMT","1 USD = 17.977 ZAR"
"Tue, 31 Mar 2020 01:43:45 GMT","1 USD = 17.9761 ZAR"
"Tue, 31 Mar 2020 01:48:45 GMT","1 USD = 17.9671 ZAR"
"Tue, 31 Mar 2020 01:53:45 GMT","1 USD = 17.9717 ZAR"
"Tue, 31 Mar 2020 01:58:45 GMT","1 USD = 17.9762 ZAR"
"Tue, 31 Mar 2020 02:03:45 GMT","1 USD = 17.9614 ZAR"
"Tue, 31 Mar 2020 02:08:45 GMT","1 USD = 17.9593 ZAR"
"Tue, 31 Mar 2020 02:13:45 GMT","1 USD = 17.9655 ZAR"
"Tue, 31 Mar 2020 02:18:45 GMT","1 USD = 17.9609 ZAR"
"Tue, 31 Mar 2020 02:23:45 GMT","1 USD = 17.9668 ZAR"
"Tue, 31 Mar 2020 02:28:45 GMT","1 USD = 17.9529 ZAR"
"Tue, 31 Mar 2020 02:33:45 GMT","1 USD = 17.9563 ZAR"
"Tue, 31 Mar 2020 02:38:45 GMT","1 USD = 17.9423 ZAR"
"Tue, 31 Mar 2020 02:43:45 GMT","1 USD = 17.8986 ZAR"
"Tue, 31 Mar 2020 02:48:45 GMT","1 USD = 17.9443 ZAR"
"Tue, 31 Mar 2020 02:53:45 GMT","1 USD = 17.9486 ZAR"
"Tue, 31 Mar 2020 02:58:45 GMT","1 USD = 17.9164 ZAR"
"Tue, 31 Mar 2020 03:03:45 GMT","1 USD = 17.9317 ZAR"
"Tue, 31 Mar 2020 03:08:45 GMT","1 USD = 17.9103 ZAR"
"Tue, 31 Mar 2020 03:13:45 GMT","1 USD = 17.9186 ZAR"
"Tue, 31 Mar 2020 03:18:45 GMT","1 USD = 17.9443 ZAR"
"Tue, 31 Mar 2020 03:23:45 GMT","1 USD = 17.9419 ZAR"
"Tue, 31 Mar 2020 03:28:45 GMT","1 USD = 17.9386 ZAR"
"Tue, 31 Mar 2020 03:33:45 GMT","1 USD = 17.9363 ZAR"
"Tue, 31 Mar 2020 03:38:45 GMT","1 USD = 17.932 ZAR"
"Tue, 31 Mar 2020 03:43:45 GMT","1 USD = 17.9296 ZAR"
"Tue, 31 Mar 2020 03:48:45 GMT","1 USD = 17.9296 ZAR"
"Tue, 31 Mar 2020 03:53:45 GMT","1 USD = 17.9295 ZAR"
"Tue, 31 Mar 2020 03:58:45 GMT","1 USD = 17.9311 ZAR"
"Tue, 31 Mar 2020 04:03:45 GMT","1 USD = 17.9289 ZAR"
"Tue, 31 Mar 2020 04:08:45 GMT","1 USD = 17.9391 ZAR"
"Tue, 31 Mar 2020 04:13:45 GMT","1 USD = 17.9516 ZAR"
"Tue, 31 Mar 2020 04:18:45 GMT","1 USD = 17.9429 ZAR"
"Tue, 31 Mar 2020 04:23:45 GMT","1 USD = 17.9419 ZAR"
"Tue, 31 Mar 2020 04:28:45 GMT","1 USD = 17.9483 ZAR"
"Tue, 31 Mar 2020 04:33:45 GMT","1 USD = 17.9436 ZAR"
"Tue, 31 Mar 2020 04:38:45 GMT","1 USD = 17.9404 ZAR"
"Tue, 31 Mar 2020 04:43:45 GMT","1 USD = 17.9437 ZAR"
"Tue, 31 Mar 2020 04:48:45 GMT","1 USD = 17.9492 ZAR"
"Tue, 31 Mar 2020 04:53:45 GMT","1 USD = 17.9586 ZAR"
"Tue, 31 Mar 2020 04:58:45 GMT","1 USD = 17.9511 ZAR"
"Tue, 31 Mar 2020 05:03:45 GMT","1 USD = 17.9561 ZAR"
"Tue, 31 Mar 2020 05:08:45 GMT","1 USD = 17.9435 ZAR"
"Tue, 31 Mar 2020 05:13:45 GMT","1 USD = 17.9596 ZAR"
"Tue, 31 Mar 2020 05:18:45 GMT","1 USD = 17.9689 ZAR"
"Tue, 31 Mar 2020 05:23:45 GMT","1 USD = 17.9811 ZAR"
"Tue, 31 Mar 2020 05:28:45 GMT","1 USD = 17.9881 ZAR"
"Tue, 31 Mar 2020 05:33:45 GMT","1 USD = 17.9753 ZAR"
"Tue, 31 Mar 2020 05:38:45 GMT","1 USD = 17.982 ZAR"
"Tue, 31 Mar 2020 05:43:45 GMT","1 USD = 17.9785 ZAR"
"Tue, 31 Mar 2020 05:48:45 GMT","1 USD = 17.9774 ZAR"
"Tue, 31 Mar 2020 05:53:45 GMT","1 USD = 17.9635 ZAR"
"Tue, 31 Mar 2020 05:58:45 GMT","1 USD = 17.9646 ZAR"
"Tue, 31 Mar 2020 06:03:45 GMT","1 USD = 17.9666 ZAR"
"Tue, 31 Mar 2020 06:08:45 GMT","1 USD = 17.979 ZAR"
"Tue, 31 Mar 2020 06:13:45 GMT","1 USD = 17.9865 ZAR"
"Tue, 31 Mar 2020 06:18:45 GMT","1 USD = 17.9873 ZAR"
"Tue, 31 Mar 2020 06:23:45 GMT","1 USD = 17.9797 ZAR"
"Tue, 31 Mar 2020 06:28:45 GMT","1 USD = 17.9941 ZAR"
"Tue, 31 Mar 2020 06:33:45 GMT","1 USD = 17.9901 ZAR"
"Tue, 31 Mar 2020 06:38:45 GMT","1 USD = 17.9797 ZAR"
"Tue, 31 Mar 2020 06:43:45 GMT","1 USD = 18.0073 ZAR"
"Tue, 31 Mar 2020 06:48:45 GMT","1 USD = 18.0216 ZAR"
"Tue, 31 Mar 2020 06:53:45 GMT","1 USD = 18.0045 ZAR"
"Tue, 31 Mar 2020 06:58:45 GMT","1 USD = 18.0286 ZAR"
"Tue, 31 Mar 2020 07:03:45 GMT","1 USD = 18.0158 ZAR"
"Tue, 31 Mar 2020 07:08:45 GMT","1 USD = 18.0184 ZAR"
"Tue, 31 Mar 2020 07:13:45 GMT","1 USD = 18.0146 ZAR"
"Tue, 31 Mar 2020 09:51:44 GMT","1 USD = 17.909 ZAR"
"Tue, 31 Mar 2020 09:56:43 GMT","1 USD = 17.8748 ZAR"
"Tue, 31 Mar 2020 10:01:44 GMT","1 USD = 17.8749 ZAR"
"Tue, 31 Mar 2020 10:06:31 GMT","1 USD = 17.8916 ZAR"
"Tue, 31 Mar 2020 10:11:42 GMT","1 USD = 17.8877 ZAR"
"Tue, 31 Mar 2020 10:12:21 GMT","1 USD = 17.8877 ZAR"
"Tue, 31 Mar 2020 10:14:47 GMT","1 USD = 17.8877 ZAR"
"Tue, 31 Mar 2020 10:18:03 GMT","1 USD = 17.8671 ZAR"
"Tue, 31 Mar 2020 10:23:02 GMT","1 USD = 17.8725 ZAR"
"Tue, 31 Mar 2020 10:28:03 GMT","1 USD = 17.881 ZAR"
"Tue, 31 Mar 2020 10:33:02 GMT","1 USD = 17.8611 ZAR"
"Tue, 31 Mar 2020 10:38:02 GMT","1 USD = 17.8761 ZAR"
"Tue, 31 Mar 2020 10:43:02 GMT","1 USD = 17.8377 ZAR"
"Tue, 31 Mar 2020 10:48:03 GMT","1 USD = 17.8397 ZAR"
"Tue, 31 Mar 2020 10:53:02 GMT","1 USD = 17.8139 ZAR"
"Tue, 31 Mar 2020 10:58:02 GMT","1 USD = 17.8154 ZAR"
"Tue, 31 Mar 2020 11:03:02 GMT","1 USD = 17.8033 ZAR"
"Tue, 31 Mar 2020 11:08:02 GMT","1 USD = 17.8601 ZAR"
"Tue, 31 Mar 2020 11:13:02 GMT","1 USD = 17.8392 ZAR"
"Tue, 31 Mar 2020 11:18:02 GMT","1 USD = 17.8267 ZAR"
"Tue, 31 Mar 2020 11:23:03 GMT","1 USD = 17.8409 ZAR"
"Tue, 31 Mar 2020 11:28:02 GMT","1 USD = 17.869 ZAR"
"Tue, 31 Mar 2020 11:33:02 GMT","1 USD = 17.8604 ZAR"
